"Series number,""Start time"",""End time"",""Answer duration"",""User ID"",""WeChat ID"",""User-defined field"",""1.Age"",""2.Gender"",""3.Education"",""3.Education (Other)"",""4.Country"",""4.Country (Other)"",""5.Work"",""5.Work (Other)"",""6.FR concept"",""7.sources: prinnt media "",""7.sources: Internet"",""7.sources: scientific paper"",""7.sources: conversations"",""7.sources: class"",""7.sources: (Other)"",""7.sources: (Other)"",""8.unlock: Swipe"",""8.unlock: Passwords"",""8.unlock: Pattern"",""8.unlock: Finger prints"",""8.unlock: FaceID"",""8.unlock: Nothing"",""8.unlock: (Other)"",""8.unlock: (Other)"",""9.Use FaceID"",""9.Use FaceID (Other)"",""10.Not use FaceID (Other)"",""11.FR using status"",""12.Opinions of statement"",""13.Attitudes of statement"",""14.(1)Policing investigation"",""14.(2) Daily policing"",""14.(3) Smartphone"",""14.(4) Airport"",""14.(5) Supermarket: buy alcohol"",""14.(6) Supermarket: track shopper "",""14.(7) School: student attendance"",""14.(8) School: student behaviour"",""14.(10) Public transport: ticket barriers"",""14.(11) Public transport: indentify people for police"",""14.(12) At work: high risk area"",""14.(13) At work: monitor people"",""14.(14) Massive events"",""14.(15) Apartment building"",""15.Attitudes for police using FRT"",""16.Opinions for police using FR"",""17.Agree: society"",""17.Agree: personal security"",""17.Agree: security system"",""17.Agree: opt out or consent"",""17.Agree: ethical"",""17.Agree: not misused or hacked"",""17.Agree: indiscriminate"",""17.Agree: accurate"",""17.Agree: reliable"",""17.Agree: no effect"",""17.Agree: I do not know"",""17.Agree: none"",""17.Agree: (Other)"",""17.Agree: (Other)"",""18.Disagree: privacy"",""18.Disagree: normalization"",""18.Disagree: no opt out or consent"",""18.Disagree: not ethical"",""18.Disagree: personal privacy"",""18.Disagree: misused or hacked"",""18.Disagree: discriminate"",""18.Disagree: not accurate"",""18.Disagree: not reliable"",""18.Disagree: personal effect"",""18.Disagree: I do not know"",""18.Disagree: none"",""18.Disagree: (Other)"",""18.Disagree: (Other)"",""19.Feel safer"",""20.Identify criminals"",""21.Prevent crimes"",""22.Deter terrorists"",""23.Crime evidence"",""24.No notifying"",""25.Attitudes now"",""26.Future"",""27.Comments"","
"1,""23-Oct-2019 19:44:29"",""23-Oct-2019 20:08:04"",""1415"","""","""","""",""1"",""2"",""3"","""",""3"","""",""8"","""",""2"","""",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""",""4"","""",""1"","""",""2"",""2"",""3"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2"",""2"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"","""","""","""","""","""","""","""","""",""3"",""2"",""4"",""4"",""2"",""3"",""2"",""2"",""人脸识别技术会成为未来的一个趋势。"","
"2,""23-Oct-2019 20:40:11"",""23-Oct-2019 20:53:53"",""822"","""",""o86_0jqNdrD6CADw6uDOWrucIfbU___王禄"","""",""1"",""1"",""3"","""",""3"","""",""1"","""",""2"","""","""","""","""","""",""1"",""公司有相关产品使用"","""","""",""1"","""","""","""","""","""",""4"","""",""8"",""不太习惯使用"",""2"",""2"",""3"",""1"",""3"",""3"",""2"",""3"",""3"",""3"",""3"",""2"",""2"",""2"",""3"",""2"",""3"",""2"",""2"",""1"","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""",""2"",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""需要注意信息安全防护"","
"3,""23-Oct-2019 21:37:20"",""23-Oct-2019 21:40:55"",""215"","""",""o86_0jmOQEuXOMWT_Nli9byMvyFM___小拇指吖"","""",""1"",""2"",""4"","""",""3"","""",""8"","""",""3"","""","""","""","""","""",""1"","""","""","""","""","""","""","""",""1"","""",""4"","""",""3"","""",""4"",""1"",""3"",""2"",""4"",""2"",""2"",""4"",""4"",""4"",""4"",""4"",""2"",""2"",""4"",""4"",""4"",""3"",""3"",""1"",""1"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"","""","""","""","""","""","""",""1"",""2"",""3"",""2"",""2"",""2"",""4"",""2"",""无"","
"4,""23-Oct-2019 21:38:29"",""23-Oct-2019 21:45:02"",""393"","""",""o86_0jkTCGtDxUn462CVdBM7-He4___寂寞林"","""",""1"",""2"",""3"","""",""3"","""",""1"","""",""2"","""","""","""","""","""",""1"",""工作"","""",""1"","""",""1"","""","""","""","""",""7"","""",""3"","""",""2"",""1"",""1"",""2"",""4"",""3"",""2"",""4"",""4"",""3"",""4"",""2"",""2"",""2"",""4"",""2"",""3"",""3"",""2"",""1"","""","""","""","""",""1"","""","""","""","""","""","""","""","""",""1"","""",""1"","""",""1"","""","""","""","""","""","""","""","""","""",""2"",""2"",""3"",""3"",""2"",""3"",""3"",""2"",""技术应用需要被约束，合理应用"","
"5,""23-Oct-2019 21:42:03"",""23-Oct-2019 21:48:22"",""379"","""",""o86_0jn-0XIxrVVAw9gbkWmnYrx0___亭亭"","""",""1"",""2"",""3"","""",""3"","""",""4"","""",""2"","""",""1"","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""4"","""",""7"","""",""2"",""2"",""3"",""1"",""2"",""3"",""1"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""2"",""1"",""2"",""1"",""1"",""1"","""",""1"","""","""","""","""",""1"",""1"","""","""","""","""","""",""1"","""","""","""","""",""1"","""","""","""","""","""","""","""","""",""1"",""1"",""4"",""4"",""2"",""2"",""2"",""2"",""使用这项技术同时保证安全性和可控性"","
"6,""23-Oct-2019 21:47:26"",""23-Oct-2019 21:53:21"",""355"","""",""o86_0jtBW6s0crr6kzfh38h1f0os___北落师门"","""",""1"",""1"",""4"","""",""3"","""",""8"","""",""2"","""",""1"","""","""","""",""1"",""日常生活"","""","""","""",""1"",""1"","""","""","""",""5"","""",""1"","""",""2"",""1"",""5"",""2"",""3"",""2"",""2"",""3"",""3"",""4"",""4"",""2"",""2"",""2"",""4"",""2"",""2"",""3"",""3"","""","""",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"",""1"","""","""","""","""","""",""2"",""2"",""3"",""3"",""2"",""2"",""2"",""2"",""人脸识别是双刃剑"","
"7,""23-Oct-2019 21:46:43"",""23-Oct-2019 21:53:29"",""406"","""",""o86_0jsXmUjPFHXTk4eRlpdutjGU___扣脚盟"","""",""1"",""1"",""4"","""",""3"","""",""8"","""",""2"","""",""1"","""",""1"","""","""","""","""",""1"","""",""1"","""","""","""","""",""5"","""",""1"","""",""4"",""3"",""4"",""1"",""4"",""1"",""1"",""1"",""5"",""1"",""1"",""1"",""1"",""1"",""5"",""4"",""1"",""1"",""1"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"",""1"",""1"",""1"",""1"",""4"",""2"",""1"",""好的技术要用在服务人类"","
"8,""23-Oct-2019 21:56:18"",""23-Oct-2019 22:02:02"",""344"","""",""o86_0jkXGN_6CXYWo_CoaBXUZVCw___亨一耳"","""",""1"",""2"",""3"","""",""3"","""",""8"","""",""2"","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""4"","""",""2"","""",""3"",""3"",""3"",""2"",""4"",""4"",""2"",""4"",""4"",""4"",""4"",""4"",""2"",""2"",""4"",""2"",""2"",""3"",""3"","""","""",""1"",""1"","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""1"",""1"",""1"","""","""","""","""","""","""",""2"",""4"",""4"",""4"",""2"",""2"",""4"",""4"",""无"","
"9,""23-Oct-2019 22:43:06"",""23-Oct-2019 22:47:19"",""253"","""",""o86_0jihIYfQ3zifqEIHKX-xlFsk___慧仔"","""",""1"",""2"",""3"","""",""3"","""",""8"","""",""2"","""",""1"","""","""","""","""","""","""",""1"","""","""","""","""","""","""",""4"","""",""3"","""",""3"",""2"",""3"",""2"",""2"",""2"",""2"",""3"",""3"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""3"",""2"",""1"",""1"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""",""3"",""3"",""3"",""3"",""3"",""3"",""2"",""2"",""无"","
"10,""23-Oct-2019 22:45:44"",""23-Oct-2019 22:49:29"",""225"","""",""o86_0jtMDqCC435hxhKe1GcXKNQs___Five God"","""",""1"",""1"",""3"","""",""3"","""",""5"","""",""1"","""",""1"",""1"","""","""","""","""","""",""1"","""",""1"",""1"","""","""","""",""5"","""",""5"","""",""2"",""2"",""5"",""1"",""1"",""3"",""1"",""1"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""无"","
